,symbol,best,base,worst,relative_best,relative_base,relative_worst
67,6199.T,1869.4709195570954,1156.3257326779956,532.0204299712087,-16.188372874897166,28.133888584338372,66.93471535293918
68,4725.T,4491.961335676291,3565.4644826767117,2647.701400157015,-163.76754760283566,-109.36373944079341,-55.47277746077599
69,3920.T,544.819803683037,368.3102005900075,185.38429619416914,12.689134025154331,40.975929392626995,70.29097817401137
70,7093.T,2151.9152613664614,1413.2411906574616,543.4115021414815,-72.84459930654309,-13.513348647185671,56.352489787832816
71,3371.T,1486.2283142609942,1268.427440272007,1015.6863460582657,8.764376042910115,22.134595440637995,37.649702513304746
72,3837.T,1916.1722285626697,1736.041916099459,1587.4516297678654,-13.854559035215075,-3.15162900175039,5.677265016763792
73,4662.T,2494.017243470113,2144.976779324924,1844.0542823215926,-140.0401581780667,-106.44627327477612,-77.48356903961431
74,7072.T,1297.8272690695364,997.8081340414642,736.9815576229495,16.538439288132707,35.832274338169505,52.60568761267206
75,3918.T,3040.6503261013772,2494.9815553103763,1866.1973911267557,-196.9385084083376,-143.65054251077893,-82.24583897722223
76,3762.T,2106.024544797082,1796.8751156480332,1481.0726495875033,-14.02406847845598,2.7138540526240815,19.81198432119636
77,3924.T,1791.0478282592278,1596.909357056,1383.7944677575902,-50.88861232175466,-34.53322300387532,-16.57914639912301
78,WCG.AX,0.2926804031685517,0.23706470180066475,0.1924792444341048,-343.45515631598744,-259.18894212221926,-191.63521883955272
79,4812.T,3587.1970160389133,3205.1425907693715,2805.8763778357106,29.106778339151912,36.657261051988705,44.54789767123101
80,3968.T,1583.3812884926783,1376.1068140548748,1229.8503196207967,-49.23480570147769,-29.69903996747171,-15.914261981224945
81,9715.T,13608.929435313885,10964.631604274611,7755.505175172899,-311.76791029694056,-231.75889876776435,-134.65976324275036
82,9749.T,10257.205192488735,7279.927826674771,4420.955782256513,-14.222774972034907,18.931761395603893,50.76886656729941
83,4398.T,1847.4482754552012,1595.4484279090173,1343.900597833555,-52.68167565745464,-31.855241975951838,-11.06616511021115
84,3817.T,6494.101749840879,5969.804817021179,5507.523122780555,-111.19030080783348,-94.13999404946922,-79.10644301725382
85,9889.T,4821.652140975584,4045.3161270459736,3137.03036138419,-111.01322279980674,-77.0379049035437,-37.287980804559744
86,9658.T,5403.346396642487,4604.328588229029,3705.630330712571,-155.7191858325834,-117.90480777231562,-75.37294513547424
87,2359.T,2615.340614116955,2371.253631118419,2107.467643624215,-51.70189177012499,-37.543714101996464,-22.242902762425455
88,6555.T,1060.1579800731943,843.5906873542286,614.3541035698117,-74.94356106818387,-39.20638405185291,-1.3785649455134887
89,DOU.AX,0.007555138836716734,0.00528556392322856,0.0010263360663310245,5.560764541040822,33.930450959643004,87.1707991708622
90,3682.T,889.4259609892586,586.5003076633997,283.5746543375408,-81.14581690208932,-19.45016449356409,42.245487914961146
91,4016.T,1957.7775169799058,1353.2513602261402,601.7048873325516,-154.25682038700074,-75.74692989949871,21.856508138629664
92,9739.T,5197.8193664606115,4229.95095389309,3279.7554305050257,-115.9459645392859,-75.73539484391732,-36.259054030121554
93,4068.T,4105.678392068704,3563.9537119577726,2981.6849646193027,-89.11461962545849,-64.1618476258762,-37.34154604418713
94,CCA.AX,0.030736329426068805,0.02898090014752368,0.02593643857742614,26.818263271264755,30.99785679161029,38.24657481565205
95,8275.T,2705.335017902866,2030.8852110633088,1161.0029023186614,-147.96837927615638,-86.14896526703106,-6.416398012709572
96,DUG.AX,0.5397226736611925,0.4816564903478984,0.4235903070346043,54.06615543309,59.00795826826397,63.94976110343793
97,4386.T,1192.0971389356687,1043.5319641888664,900.9277891867263,-144.78380676297098,-114.27761071639966,-84.99543925805467
98,3988.T,2350.500401974883,1792.5675318481042,1092.8080056714398,-237.23104762910805,-157.1832900786376,-56.78737527567286
99,FORTY.TA,879.3425417754016,740.2633210668213,615.6031648565441,96.64373075658244,97.1745674768442,97.65036959978418
100,3839.T,1284.7579127869894,938.0743836226999,571.2516525729461,-119.6167372285452,-60.354595491059804,2.3501448593254506
101,3997.T,1310.2495918715972,809.3528064753143,382.6450798318984,-48.55437549564594,8.236643256767085,56.61620410069179
102,4394.T,1125.1005762515256,866.015497716129,619.8561268094686,-12.28548665184886,13.571307613160782,38.138111096859426
103,7671.T,2844.100567119702,2026.9997340379914,1023.9858246915067,-451.1822804495547,-292.8294058213162,-98.44686525029198
104,4012.T,2361.8034421076522,2011.4820507539957,1599.1362679105375,-82.09741265286448,-55.08728224780229,-23.295009091020628
105,CMDR.TA,1404.9247775333743,1184.1367574409653,972.3968786250882,94.54186178114462,95.39962409696594,96.22223434877588
106,EMCO.TA,27.346924346865887,21.056830753880753,14.183272818940734,97.16318212169442,97.81568145706632,98.52870613911404
107,HLAN.TA,172.0858487624245,151.99786392046352,130.6996860131752,98.9793247404364,99.09847055800437,99.22479427038448
108,7203.SR,355.59579095234795,247.63197359120284,145.99112755702282,20.978713121700455,44.97067253528826,67.55752720955049
109,7200.SR,129.30493815106655,91.82347800872634,48.06305406376232,3.5037774992040664,31.475016411398254,64.13204920614753
110,DXC,88.04384161461144,72.78531231742105,57.52678302023065,-255.73269339236947,-194.08206996937795,-132.43144654638647
111,IT,230.58599416879272,166.8642276562716,107.17615064618758,32.82468269859793,51.388385580530326,68.7769764475361
112,LDOS,119.80102443540363,99.82501330330565,78.75032155796767,-49.191811252059324,-24.315085060156484,1.9298610735147332
